date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:14:42	454/454	---M--	403	error ('Forbidden')	text/html	date:Sun,%2025%20Apr%202021%2021:14:40%20GMT	http://evrimguler.com.s3-website.us-east-2.amazonaws.com/robots.txt		(from )
00:14:42	2333/2333	---M--	200	added ('OK')	text/html	etag:%224301268a73f938c0d9ef93080a851751%22	http://evrimguler.com.s3-website.us-east-2.amazonaws.com/	C:/Users/User/Desktop/website/website/evrimguler.com.s3-website.us-east-2.amazonaws.com/index.html	(from )
00:14:42	11077/11077	---M--	200	added ('OK')	text/css	etag:%228356ca60d89e191363a0a44f9f1ea723%22	http://evrimguler.com.s3-website.us-east-2.amazonaws.com/default.css	C:/Users/User/Desktop/website/website/evrimguler.com.s3-website.us-east-2.amazonaws.com/default.css	(from http://evrimguler.com.s3-website.us-east-2.amazonaws.com/)
00:14:43	19845/19845	---M--	200	added ('OK')	text/css	etag:%225819d56f92c548fb17e6999e1a2eaaaa%22	http://evrimguler.com.s3-website.us-east-2.amazonaws.com/fonts.css	C:/Users/User/Desktop/website/website/evrimguler.com.s3-website.us-east-2.amazonaws.com/fonts.css	(from http://evrimguler.com.s3-website.us-east-2.amazonaws.com/)
00:14:44	2333/2333	---M--	200	added ('OK')	text/html	etag:%224301268a73f938c0d9ef93080a851751%22	http://evrimguler.com.s3-website.us-east-2.amazonaws.com/index.html	C:/Users/User/Desktop/website/website/evrimguler.com.s3-website.us-east-2.amazonaws.com/index-2.html	(from http://evrimguler.com.s3-website.us-east-2.amazonaws.com/)
00:14:44	14393/14393	---M--	200	added ('OK')	image/png	etag:%2297aab6ae7235572a0458205f511761ba%22	http://evrimguler.com.s3-website.us-east-2.amazonaws.com/images/bjkLogo.png	C:/Users/User/Desktop/website/website/evrimguler.com.s3-website.us-east-2.amazonaws.com/images/bjkLogo.png	(from http://evrimguler.com.s3-website.us-east-2.amazonaws.com/)
00:14:44	2482/2482	---M--	200	added ('OK')	text/html	etag:%22867feb2ed0efea5c3f438417139201df%22	http://evrimguler.com.s3-website.us-east-2.amazonaws.com/education.html	C:/Users/User/Desktop/website/website/evrimguler.com.s3-website.us-east-2.amazonaws.com/education.html	(from http://evrimguler.com.s3-website.us-east-2.amazonaws.com/)
00:14:45	4092/4092	---M--	200	added ('OK')	text/html	etag:%22051b56b92e8630f0f884211a4d7129c0%22	http://evrimguler.com.s3-website.us-east-2.amazonaws.com/research.html	C:/Users/User/Desktop/website/website/evrimguler.com.s3-website.us-east-2.amazonaws.com/research.html	(from http://evrimguler.com.s3-website.us-east-2.amazonaws.com/)
00:14:45	3152/3152	---M--	200	added ('OK')	text/html	etag:%22df2b2508ff94814f9b99e07d5a835ed6%22	http://evrimguler.com.s3-website.us-east-2.amazonaws.com/teaching.html	C:/Users/User/Desktop/website/website/evrimguler.com.s3-website.us-east-2.amazonaws.com/teaching.html	(from http://evrimguler.com.s3-website.us-east-2.amazonaws.com/)
00:14:46	1845/1845	---M--	200	added ('OK')	text/html	etag:%22bf9763c6b1b3d47814a0713c6217e6f0%22	http://evrimguler.com.s3-website.us-east-2.amazonaws.com/contact.html	C:/Users/User/Desktop/website/website/evrimguler.com.s3-website.us-east-2.amazonaws.com/contact.html	(from http://evrimguler.com.s3-website.us-east-2.amazonaws.com/)
